Player,My C Won,Hands,Raise First,Limp,Att To Steal (SB),3Bet BB v SB,Call BB v SB,Fold BB v SB,Call PF 2Bet,3Bet PF,3Bet Steal,2Bet PF & Fold,Raise & 4Bet+ PF ,Fold to PF 4Bet+,3Bet PF & Fold,CBet F,Flop Cbet (HU),CBet T,CBet R,Fold to F CBet,Fold to F Cbet (HU),Fold to F CBet (3B),Fold to F CBet (non-3B),CBet F & Fold,XR Flop,Fold to F XR,Donk F,Donk T,Bet R & WSD,Call R & WSD,WSD,WSD (ns)
Arhiv1985,-47.22,185,28.57,1.16,25,0,75,25,23.08,2.56,8,0,0,50,,91.67,88.89,0,,52.38,38.1,18.18,90,0,0,,23.53,0,66.67,33.33,50,
6Angel4,-42.11,182,9.2,50.94,10,0,100,0,56.96,1.27,0,0,0,0,0,100,,100,100,17.07,12.2,0,21.21,0,0,0,0,0,90.91,16.67,55.81,50
GMHawkeye,-29.42,182,29.76,0,66.67,16.67,33.33,50,24.05,18.99,24.14,0,16.67,50,0,96.88,95.83,94.12,100,11.11,11.11,14.29,9.09,0,18.75,0,13.64,20,60,0,41.38,75
Zigurrrd,-5.35,181,24.69,0,50,0,0,100,8.45,7.04,8.33,0,60,0,0,94.44,100,72.73,100,50,16.67,50,50,75,20,66.67,0,0,85.71,0,77.78,100
KAKA1,-40.57,178,17.11,18.56,44.44,0,75,25,34.78,11.59,11.11,0,50,0,0,100,100,100,62.5,44.44,22.22,33.33,46.67,0,25,,27.78,0,66.67,8.33,43.33,50
krytalex,-69.56,176,50,0.95,70,25,62.5,12.5,34.62,23.08,24.14,0,0,0,0,94.59,100,66.67,83.33,22.58,16.13,13.33,31.25,20,10.53,0,0,0,66.67,29.41,45.71,100
nemesis_doll,-74.46,176,15.66,9.9,14.29,0,66.67,33.33,30.36,0,0,0,16.67,,,100,100,100,100,33.33,26.67,60,20,0,0,,6.25,8.33,28.57,0,23.08,0
LosChief,-17.13,174,31.76,1.12,66.67,0,50,50,19.44,2.78,0,0,0,0,0,93.75,100,40,,16.67,8.33,0,28.57,0,0,0,0,0,75,60,57.14,33.33
seppi937,0.02,173,36.78,0,75,33.33,33.33,33.33,11.86,15.25,18.18,0,0,0,0,96.55,100,90.91,50,14.29,14.29,33.33,0,25,25,14.29,0,0,60,0,43.75,100
Stinkys21,33.99,170,23.38,28.57,50,0,100,0,56.25,6.25,15.79,0,0,25,0,94.12,100,91.67,33.33,44.83,17.24,20,50,0,8,0,0,0,100,55.56,67.86,
pstyle76,-74.32,170,26.67,10.23,11.11,25,50,25,35.82,8.96,15.38,0,0,0,0,100,100,11.11,0,28.57,19.05,0,42.86,0,5.88,0,0,0,100,25,42.86,
rose777,20.91,167,41.33,5.13,75,25,75,0,26.03,24.66,44.44,0,0,0,0,91.18,100,71.43,60,14.29,9.52,0,27.27,25,20.83,0,9.52,0,81.82,40,62.07,66.67
Schnickser,-3.08,167,32.86,0,75,25,75,0,18.33,8.33,8.33,0,20,50,0,82.35,90.91,77.78,100,25,25,50,16.67,100,0,100,0,0,75,50,64.29,100
bottlenose23,-65.78,167,31.71,10.59,28.57,11.11,66.67,22.22,41.18,2.94,6.06,0,40,0,,93.75,90,88.89,100,20,16,16.67,21.05,20,0,50,5.26,0,85.71,21.43,51.72,
salvador.m48,-34.98,166,5.33,39.13,12.5,0,66.67,33.33,61.11,1.39,0,0,100,0,,75,100,100,,22.22,11.11,0,23.08,,0,,3.03,5.56,80,25,41.18,50
Hohladze,2.64,165,38.82,0,66.67,0,50,50,16,12,10,0,12.5,0,0,86.21,90.91,60,100,25,18.75,11.11,42.86,0,8.33,33.33,0,22.22,71.43,25,55.56,75
pruzelda,52.18,164,36.14,13.95,24.14,18.18,45.45,36.36,41.27,12.9,16.67,0,75,25,0,100,100,100,100,50,40.91,50,50,50,11.76,66.67,0,14.29,100,,66.67,50
rifficizer,-81.65,164,31.82,2.5,50,100,0,0,17.39,15.94,23.08,0,16.67,20,0,96,100,72.22,66.67,46.67,13.33,60,40,0,18.75,0,0,14.29,60,20,38.89,0
Krippler,-40.75,164,6.1,48.51,18.18,0,100,0,65.33,1.33,7.14,0,,0,,57.14,66.67,66.67,100,17.86,0,0,19.23,0,0,0,25,20,46.15,42.86,45,66.67
buggspray,28.41,163,32.84,5.63,37.5,20,40,40,32.86,12.86,20,0,33.33,0,0,35,44.44,100,50,47.37,10.53,44.44,50,0,15.79,0,18.75,20,66.67,14.29,47.62,0
KortKongen,8.85,160,25.35,2.35,33.33,0,75,25,15.87,6.35,13.04,0,0,,,82.35,81.82,83.33,66.67,18.18,9.09,0,28.57,0,10,0,0,0,60,25,73.33,50
Mr.Muckys,-93.09,160,43.94,6.67,20,80,0,20,44.93,21.74,25.93,0,16.67,0,0,79.17,88.24,80,100,29.63,14.81,10,41.18,0,4.55,0,29.03,0,70,37.5,42.5,66.67
love_mmm,-54.42,160,35.06,11.24,45.45,0,100,0,47.37,5.26,0,0,20,0,0,95,100,100,50,4.17,4.17,0,6.67,0,5.26,0,17.39,0,100,17.65,34.21,100
luke8,-43.52,159,59.72,1.35,100,0,50,50,49.3,16.9,18.18,0,7.14,0,0,77.42,90.48,85.71,83.33,39.39,21.21,15.38,55,50,11.11,,5.56,6.67,56.25,0,45.95,33.33
kervyrx7,-64.40,158,21.59,0,22.22,40,60,0,23.53,11.76,23.81,0,75,0,0,100,100,87.5,20,61.54,46.15,50,66.67,33.33,12.5,0,0,0,100,66.67,63.64,
Fusee,136.97,157,46.84,4.35,78.57,45.45,45.45,9.09,23.53,33.33,41.38,0,10,0,0,97.22,96.67,54.55,100,22.22,11.11,22.22,22.22,0,15.38,0,15.38,0,100,41.67,70,100
pepito39,-34.84,157,1.32,57.5,0,0,75,25,53.25,2.6,0,,,60,0,100,,100,,18.52,18.52,0,20,,4.17,,0,0,83.33,0,57.14,
Sakic96,-12.89,157,40.96,4.65,71.43,71.43,28.57,0,24.14,17.24,33.33,0,44.44,0,0,89.29,90,100,88.89,21.43,7.14,0,33.33,0,9.09,0,16.67,30.77,50,14.29,42.86,40
MrPartagas,-26.87,154,2.56,32.1,0,25,0,75,36.23,1.45,4.17,,,100,,50,50,,,41.18,17.65,50,40,,0,0,11.76,0,66.67,75,61.11,
uh_oh64,4.33,153,47.95,4.82,100,33.33,66.67,0,33.33,18.52,40,0,50,0,0,96.97,100,75,57.14,44.44,38.89,25,60,0,33.33,0,14.29,33.33,66.67,23.08,39.39,75
TruuCalling,-191.92,152,17.65,21.52,42.86,0,50,50,61.43,2.86,11.76,0,33.33,0,0,85.71,75,100,100,34.38,15.63,20,37.04,,3.23,0,3.13,5,66.67,0,8.33,0
Techtone5,-91.30,151,2.47,42.05,0,0,100,0,69.7,1.52,0,0,0,0,,100,100,100,100,27.78,13.89,0,30.3,0,0,0,11.11,38.46,73.33,0,52,33.33
ub_player04,-49.65,150,40.3,2.63,28.57,0,50,50,35.71,16.07,9.52,0,40,0,0,90.91,92.31,44.44,100,16.67,5.56,0,30,0,33.33,0,0,11.11,83.33,25,46.67,100
spickovina65,98.32,147,18.67,3.95,42.86,0,100,0,32,16,22.22,,,50,,88.89,87.5,58.33,100,42.11,21.05,33.33,46.15,25,16.67,100,0,50,81.82,25,61.11,
perezalexx,-7.52,146,16.44,20.73,0,0,100,0,62.9,6.45,5.26,0,0,0,0,100,100,66.67,,34.48,20.69,0,45.45,33.33,7.69,33.33,24.24,33.33,80,22.22,46.15,0
tony@ng79,38.08,145,43.66,5.81,70,0,100,0,39.13,8.89,7.69,0,0,0,,100,100,68.75,42.86,35.71,7.14,25,40,22.22,9.09,28.57,25,0,100,20,57.69,100
CrongCrong,-253.65,144,49.23,0,80,0,66.67,33.33,28.57,8.93,11.11,0,7.69,0,0,100,100,100,57.14,53.57,35.71,46.67,61.54,0,10.53,0,0,0,85.71,28.57,55,25
kmeta8306,-91.45,143,33.85,4.11,41.18,30.77,38.46,30.77,26.32,15.79,24,0,50,0,0,93.33,100,87.5,100,35.29,23.53,16.67,45.45,16.67,26.67,25,0,0,33.33,50,38.1,50
Bluf_To_Much,4.82,143,32,1.27,75,0,100,0,30.36,8.93,6.67,0,0,0,0,94.44,100,53.85,75,25,20.83,18.18,30.77,100,5.88,,0,9.09,87.5,33.33,66.67,0
Info3Ametist,29.68,141,43.33,2.9,71.43,50,25,25,13.73,19.61,25,0,25,25,0,95.24,92.86,69.23,80,15.38,0,0,40,0,18.18,,0,0,66.67,33.33,60,33.33
LUCKX1969,-49.71,141,20,47.37,16.67,33.33,57.14,14.29,59.49,12.82,25,0,50,0,0,100,100,50,33.33,48,16,36.36,51.28,0,13.64,,0,0,50,25,58.06,100
Road Dagg,38.80,140,12.5,34.72,25,0,100,0,54.1,4.92,0,0,50,50,0,100,100,85.71,100,37.5,6.25,50,30,0,0,,54.17,8.33,62.5,50,44.44,50
VitaPeach,-88.46,140,37.68,0,44.44,,,,26.42,18.87,16.67,0,0,0,0,100,100,100,72.73,15.79,10.53,11.11,20,0,10,0,0,0,66.67,10,42.31,16.67
tnavi,58.90,138,29.85,0,50,0,50,50,12.24,14.29,12.5,0,33.33,0,0,94.12,100,100,80,16.67,16.67,0,40,0,0,0,0,0,100,40,64.71,100
DMatts7515,-16.80,138,21.88,17.65,33.33,0,0,100,36.36,2.27,7.14,0,0,0,0,62.5,50,33.33,,29.41,0,33.33,27.27,0,0,0,0,0,100,0,50,
kyleaa1030,-42.36,138,36.84,0,50,0,50,50,25.93,9.26,8.33,0,12.5,0,0,94.12,92.31,85.71,33.33,31.25,18.75,28.57,33.33,14.29,0,0,0,0,71.43,0,60,100
Danger12,14.19,135,49.23,4.23,62.5,25,75,0,30.61,16.33,18.18,0,11.11,0,0,100,100,80,40,20,6.67,33.33,11.11,0,16.67,0,0,0,100,0,55,66.67
ilijadelija123,15.01,135,28.57,11.11,40,0,100,0,43.75,12.5,17.65,0,28.57,0,0,63.64,75,66.67,100,37.5,20.83,12.5,50,0,4.76,0,0,0,100,33.33,60,100
imdvb6307,56.02,135,29.63,5.26,50,50,50,0,18.84,20.59,25,0,33.33,16.67,0,95.45,93.75,46.67,60,33.33,6.67,25,42.86,40,21.43,66.67,0,16.67,100,33.33,62.5,100
Gregolator,-76.57,134,9.38,34.67,33.33,0,0,100,57.69,1.92,11.11,0,0,0,0,80,66.67,100,100,26.32,0,0,31.25,0,0,,8,0,60,14.29,33.33,0
daGooch33,-82.70,134,40.85,9.46,63.64,50,50,0,54,18,15.38,0,40,0,0,77.27,77.78,87.5,100,36,24,0,52.94,0,0,0,15.38,0,54.55,25,39.29,22.22
branco-AK74,-78.89,134,11.27,10.81,0,0,100,0,40.38,1.92,0,0,0,50,,33.33,100,,,40.91,13.64,50,38.89,,0,,0,0,100,0,50,
Kjelly89,8.04,133,30.51,0,33.33,50,50,0,20.97,14.52,20,0,0,0,0,92.31,100,66.67,0,18.75,18.75,0,50,0,18.75,0,5.88,20,100,12.5,54.55,60
fredfight,-120.75,132,12.31,7.58,12.5,0,66.67,33.33,30.36,5.45,7.41,0,0,,,50,50,100,,46.15,23.08,0,50,0,0,0,0,0,50,14.29,30.77,25
boardrat,-21.06,131,27.87,8.82,50,,,,45.83,12.5,0,0,40,0,0,100,100,83.33,66.67,26.32,21.05,25,26.67,0,27.27,0,4.55,33.33,61.54,15.38,37.93,33.33
ede56,105.81,130,17.02,12,20,0,33.33,66.67,11.59,14.49,15.38,0,0,0,0,75,71.43,33.33,,0,0,0,0,,42.86,,0,100,66.67,0,53.33,100
Coldhandnik,63.30,128,34.78,2.74,50,0,33.33,66.67,13.64,2.27,5.56,0,0,0,,100,100,75,80,0,0,0,0,100,20,,57.14,33.33,75,100,71.43,100
frnkthetank,-35.14,126,18.03,14.93,16.67,0,50,50,41.51,5.66,5.26,0,100,,,100,100,85.71,100,40,30,0,42.11,0,0,0,0,0,100,20,53.85,0
Alpacino76,-40.58,123,45.45,4.17,50,0,100,0,35.9,10.26,11.11,0,0,0,0,73.68,66.67,85.71,75,25,0,22.22,27.27,0,7.69,0,5.26,7.14,100,22.22,54.17,
Biiigfish999,1.91,123,17.74,10.14,25,0,100,0,52.5,2.5,0,0,0,,,85.71,100,100,,25,12.5,33.33,23.08,0,15.38,0,0,0,66.67,33.33,58.33,
HAL9QQQ,52.90,123,34,1.39,25,,,,10,7.5,9.09,0,16.67,,,83.33,80,12.5,,42.86,28.57,20,100,0,0,0,33.33,33.33,66.67,37.5,60,50
Ulanov954,-73.48,123,36.84,12.5,33.33,66.67,33.33,0,41.67,14.58,13.33,0,0,0,0,88.89,75,75,60,41.18,17.65,28.57,50,0,20,0,47.06,30,55.56,25,51.85,25
bhabib,-26.60,122,44.62,4.82,50,100,0,0,32.26,9.68,15.38,0,20,0,0,88.89,91.67,100,0,21.43,14.29,12.5,33.33,0,18.18,0,0,0,60,16.67,63.16,0
chairman-law,32.42,120,40,3.28,50,0,100,0,35.56,2.22,0,0,0,0,,100,100,100,66.67,16.67,5.56,22.22,11.11,0,0,0,14.29,20,50,33.33,50,66.67
syriapoker,-60.79,119,24.14,16.67,66.67,33.33,33.33,33.33,42.22,8.89,5.56,0,0,0,0,81.82,85.71,50,,10.53,0,12.5,9.09,0,12.5,0,0,9.09,50,28.57,38.1,33.33
MarkoBa,-49.25,119,20.34,30.3,50,0,100,0,66,6,25,0,0,33.33,,63.64,50,75,100,60,45,50,62.5,20,0,50,15.38,0,71.43,30.77,50,50
zxhxshsrm,-7.24,119,33.33,29.17,25,0,100,0,56.1,4.88,0,0,0,0,0,81.25,72.73,83.33,50,39.13,8.7,20,44.44,0,5,33.33,5.56,0,88.89,18.18,52,100
Stars400560,-58.52,119,45.45,0,50,0,100,0,29.17,10.42,17.65,0,0,0,,93.75,100,66.67,0,5.56,0,0,16.67,20,9.09,0,12.5,0,60,28.57,45.83,100
RowntreWilly,22.04,117,2.22,30.3,0,0,0,100,41.67,0,0,,,0,,100,100,,,33.33,11.11,50,31.25,,7.14,,5.88,0,100,33.33,76.92,50
rambo-2,22.16,114,5.26,32.86,0,0,40,60,51.11,0,0,0,100,,,50,66.67,100,0,36.84,5.26,50,35.29,0,5.56,,0,0,66.67,100,60,100
bugsbubble,-126.62,113,32,0,100,40,60,0,18.87,20.75,41.18,0,16.67,50,0,100,100,50,50,16.67,0,16.67,16.67,0,16.67,0,0,0,100,50,50,0
Psynto,12.27,113,27.78,0,75,0,100,0,22.5,10,9.09,0,0,0,0,100,100,75,100,33.33,11.11,0,60,25,0,0,0,20,57.14,0,38.46,100
MMAGPIEE,10.90,113,21.15,18.75,57.14,0,100,0,41.86,0,0,0,0,0,,60,71.43,100,100,66.67,16.67,50,75,0,0,0,25,66.67,100,42.86,55.56,100
freeeye76,-119.88,112,64.15,6.15,50,,,,22.22,38.89,25,0,66.67,16.67,0,83.78,91.67,59.09,75,55.56,22.22,75,40,50,27.27,100,12.5,16.67,44.44,0,33.33,0
vtiger,-36.67,112,43.48,23.21,100,0,100,0,50,2.08,0,0,0,0,0,75,72.73,40,,26.09,8.7,25,26.67,0,0,0,0,0,83.33,0,50,33.33
Tulivuori,-27.51,111,44.23,3.33,100,33.33,66.67,0,36.17,17.39,18.18,0,22.22,0,0,85.71,100,55.56,100,55,30,28.57,69.23,100,0,,0,0,100,0,59.09,0
fasutron,11.18,110,28,1.56,75,0,66.67,33.33,21.95,4.88,6.67,0,0,,,63.64,85.71,66.67,100,33.33,22.22,50,28.57,0,12.5,0,12.5,0,66.67,50,55.56,
RINO774,-55.32,110,52.27,2.13,100,50,0,50,30.19,25,40,0,25,0,0,80,80,80,80,44.44,27.78,40,50,0,5.88,0,6.25,10,83.33,11.11,45.83,0
bogi27,-27.80,110,29.17,10.34,100,,,,42.22,20,0,0,0,0,0,87.5,100,100,100,15.79,0,14.29,16.67,0,0,0,16.67,5.56,61.11,0,55.56,66.67
pokerdumass,20.78,109,20.41,14.81,0,0,100,0,46.81,0,0,0,50,,,100,100,83.33,100,10,0,,10,0,7.69,0,0,0,100,50,50,
BentonFrizer,93.22,107,60.78,1.85,62.5,0,85.71,14.29,52.27,4.55,0,0,0,20,0,77.27,86.67,50,100,21.74,8.7,0,31.25,40,0,0,11.11,21.43,66.67,45.45,65.38,100
123magaly123,-34.28,106,23.21,18.67,20,100,0,0,57.14,10.71,33.33,0,33.33,,,75,77.78,33.33,,46.15,15.38,40,50,0,0,0,6.25,25,100,20,43.75,100
tje777,27.74,106,35.85,1.82,66.67,33.33,66.67,0,58.14,20.93,22.73,0,0,0,0,94.74,93.33,77.78,83.33,20,16,16.67,21.05,0,13.64,0,0,0,66.67,22.22,56.52,0
reyTEAM777,-22.66,106,26.53,12.28,25,0,0,100,27.5,0,0,0,0,100,,57.14,66.67,50,100,36.36,18.18,0,40,0,0,,0,0,66.67,33.33,38.46,
crash19867,-10.74,105,25,1.67,50,33.33,33.33,33.33,11.11,5.56,7.69,0,0,0,0,100,100,50,,42.86,28.57,33.33,50,33.33,20,0,0,0,100,33.33,66.67,100
nikenike777,-17.57,104,32.76,1.72,62.5,0,100,0,35.9,5.13,4.76,0,25,0,,85.71,100,60,33.33,36.36,36.36,25,42.86,33.33,0,,0,0,100,0,50,50
zverbot,-13.91,103,25.45,10.91,37.5,14.29,85.71,0,50,2.27,5,0,25,,,100,100,100,100,33.33,16.67,50,30,0,15.38,0,13.33,20,75,25,56.25,
JBDJ,-46.84,103,46.51,1.82,75,0,0,100,37.5,12.5,40,0,22.22,0,,100,100,58.33,100,28.57,14.29,16.67,37.5,0,37.5,0,18.18,0,66.67,11.11,28.57,33.33
Apanage,-91.91,101,46.3,1.52,71.43,0,100,0,25,6.25,0,0,0,0,0,100,100,72.73,50,35.71,21.43,28.57,42.86,0,18.18,0,0,0,100,20,38.46,50
YoungMinking,-45.70,101,0,20.41,0,0,50,50,52.94,3.92,0,,,0,0,,,,,0,0,0,0,,0,,36,0,50,20,45.45,
E.R.W.,65.60,101,41.51,3.23,28.57,,,,32.35,0,0,0,40,,,83.33,90.91,83.33,0,50,50,66.67,40,0,10,0,0,25,100,66.67,83.33,100
socrates65,15.57,99,23.4,20.37,33.33,0,66.67,33.33,40.54,10.81,9.09,0,0,0,0,100,100,57.14,100,43.75,25,20,54.55,100,0,100,9.09,0,60,33.33,63.64,
