Player,My C Won,Hands,Raise First,Limp,Att To Steal (SB),3Bet BB v SB,Call BB v SB,Fold BB v SB,Call PF 2Bet,3Bet PF,3Bet Steal,2Bet PF & Fold,Raise & 4Bet+ PF ,Fold to PF 4Bet+,3Bet PF & Fold,CBet F,Flop Cbet (HU),CBet T,CBet R,Fold to F CBet,Fold to F Cbet (HU),Fold to F CBet (3B),Fold to F CBet (non-3B),CBet F & Fold,XR Flop,Fold to F XR,Donk F,Donk T,Bet R & WSD,Call R & WSD,WSD,WSD (ns)
HAWKER73,26.27,484,20,16.86,24,0,100,0,43.98,2.09,1.67,0,0,0,0,83.33,80.95,55.56,66.67,41.89,13.51,27.27,44.44,20,4.29,0,4.35,13.16,92.31,42.86,65.52,83.33
tamojunto80,-162.19,479,13.49,13.68,4.76,11.11,44.44,44.44,28.29,4.39,6.15,0,0,16.67,0,66.67,58.82,16.67,,33.33,18.52,12.5,42.11,0,9.09,0,5.66,3.57,57.14,45.45,49.18,0
TbIP-TbIP 88,-62.11,473,34.03,0.44,80,18.18,36.36,45.45,15.05,17.96,23.08,0,4.55,5.88,0,90.48,93.48,48.39,70,20,12,7.69,33.33,0,5.13,0,11.76,8.33,78.95,32.14,50,40
JumpSeat123,-12.08,471,26.17,0,76.19,22.22,44.44,33.33,11.6,6.63,8.51,0,21.43,33.33,,71.43,70.27,77.27,60,29.63,29.63,23.08,35.71,0,0,0,0,0,92.31,19.05,56.82,100
hooverr,29.98,466,39.92,1.17,41.67,0,54.55,45.45,32.08,7.55,6.45,0,12.5,12.5,0,64.29,73.08,65.38,50,26.15,15.38,21.74,28.57,22.22,12,25,3.92,0,83.33,37.5,56.76,75
dobber888,-57.44,461,26.89,7.69,25,0,63.64,36.36,25.57,6.25,5.17,0,20,37.5,0,78.38,80,50,100,34.09,18.18,7.69,45.16,0,9.52,0,7.69,8.33,92.86,18.75,51.85,50
Red_Devil_VT,-38.84,456,33.8,3.59,50,50,50,0,37.5,4.69,8.7,0,0,0,0,97.06,100,73.33,57.14,13.85,3.08,12.5,14.29,0,12.28,0,20.59,2.04,60,37.5,48.48,37.5
elvirto,-70.55,449,35.42,2.29,46.67,9.09,63.64,27.27,17.42,11.24,10.34,0,15,33.33,0,83.64,85,73.08,84.62,36.11,13.89,12.5,55,0,9.52,0,26.92,15,66.67,27.78,58.49,50
jamie2000,254.95,437,38.07,6.34,50,11.11,88.89,0,35.26,8.95,17.39,0,11.54,10,0,89.09,97.06,70.83,87.5,25.93,6.17,18.75,30.61,0,26.53,0,3.85,20.83,72.73,31.03,53.73,40
TTBN,16.35,436,28.22,7.17,50,8.33,75,16.67,30.68,6.82,7.55,0,10.53,25,0,91.89,96,56.52,44.44,26.79,17.86,0,42.86,0,12.77,0,0,26.92,82.35,50,58.49,50
Kelly40,60.37,435,30.7,4.64,25,12.5,87.5,0,28.22,22.09,15.22,0,26.32,0,0,93.85,93.55,90,43.75,12.73,10.91,0,24.14,3.57,17.07,0,14.58,12.5,60,24,54.22,63.64
missakk12345,-3.27,434,35.1,11.01,30,12.5,75,12.5,48.54,12.28,17.78,0,11.43,0,0,68.09,69.44,57.14,80,16.22,9.91,5.88,25,0,12.86,0,2.74,1.85,80.56,13.51,50.93,50
jacks292001,-149.38,425,40.21,18.03,19.05,0,100,0,67.63,4.05,2.63,0,3.13,0,0,85,84.38,72.22,62.5,23.14,9.09,12.5,30.14,0,10.23,0,5.94,0,84.21,27.27,55.56,42.86
poshlivi1972,15.16,421,11.92,10.63,18.52,12.5,62.5,25,33.33,8.05,8.33,0,40,16.67,0,96,100,88.24,57.14,22.92,12.5,22.22,23.08,0,2.38,,4.65,12,77.78,25,60,60
181385,48.38,418,31.11,16.59,33.33,0,80,20,39.61,5.19,2.7,0,44.44,0,0,50,45.45,75,33.33,26.67,8.89,11.11,30.56,0,6.12,0,22.92,8.82,77.78,30.3,50.67,40
R100F,-67.55,414,28.99,3.4,56.25,83.33,16.67,0,16.03,14.5,36.36,0,44.44,0,0,95.16,97.78,92.86,54.55,13.04,4.35,0,21.43,20,31.82,0,4.55,5.56,72.22,21.05,41.67,80
Boss Hart,30.63,413,25.56,9.01,52.94,0,83.33,16.67,37.5,4.86,2.56,0,22.22,0,,91.67,90,77.42,50,36.84,21.05,14.29,41.94,40,0,0,9.52,13.04,76.92,32,54.55,40
peppilouimig,-56.97,401,35.6,1.32,57.14,60,10,30,14.84,16.41,27.27,0,0,0,0,94.12,100,64.52,60,34.62,23.08,22.22,62.5,18.75,16.67,27.27,0,12.5,53.33,23.08,48.89,50
Want 2 Dance,-100.05,401,6.47,30.26,20,33.33,0,66.67,38.98,8.62,16.67,0,0,25,0,100,100,82.35,50,19.15,4.26,11.11,21.05,0,6.98,0,11.36,0,64.29,33.33,53.45,80
MrRobotV.3,53.37,395,25.81,14.22,29.41,16.67,66.67,16.67,52.52,5.04,7.89,0,14.29,0,0,81.82,87.1,73.68,83.33,22.45,10.2,25,21.95,25,4.35,25,19.64,6.25,68.97,32,50,40
