Player,Hands,XR Flop,XR Flop HU,XR Total,Fold to F XR
glnas,1012,22.73,33.33,20.00,40.00
lacos7e,1011,0.00,0.00,0.00,0.00
Pont5,1009,28.13,36.84,19.57,50.00
nego1001,1009,18.92,29.17,17.86,100.00
Crovitz,1008,16.13,14.29,11.32,50.00
bruxadodark,1008,5.26,10.00,4.35,28.57
Sanaraboy,1007,16.67,10.00,16.00,33.33
V0t3m4tei,1007,11.11,5.56,10.17,33.33
moneyymakerr,1005,14.29,11.11,11.36,0.00
Binksy141,1005,5.56,9.09,3.33,66.67
Berkowitz33,1005,10.26,13.64,13.56,0.00
frefre113,1005,11.90,16.00,9.52,20.00
Monstrson,1005,4.55,8.33,3.13,100.00
felipeluanrs,1004,0.00,0.00,0.00,33.33
DIegoin777,1004,20.00,22.22,19.57,50.00
DieTama,1004,9.38,10.00,5.66,50.00
gustavix320,1004,3.85,0.00,2.44,0.00
coeeeelho,1002,13.33,19.05,12.20,66.67
tchjka,1002,4.55,7.69,6.06,0.00
Naneeck,1001,17.65,15.00,13.21,100.00
wilbral,1001,5.88,9.52,5.45,50.00
Dengadecroix,1000,15.22,20.83,12.00,33.33
