Player,Hands,XR Flop,XR Flop HU,XR Total,Fold to F XR
LloydBanksss,1354,19.35,23.81,15.22,33.33
InFavoreM,1354,8.33,11.76,6.12,40.00
Babydaun,1354,6.67,8.00,8.51,0.00
Engastamento,1354,20.51,27.27,14.29,66.67
Diman6899,1352,11.43,23.53,10.00,20.00
StrongQueenAA,1352,9.26,10.71,6.58,57.14
owlie45,1352,17.14,13.64,10.61,0.00
FUllofAAceS,1352,12.12,15.00,12.77,14.29
cement3s,1351,16.22,26.09,12.07,60.00
jkatulka,1351,6.98,13.04,4.76,20.00
rus2705,1350,23.81,27.27,17.86,66.67
Roquim,1350,31.25,39.13,19.30,66.67
Danijelinho,1349,21.62,26.92,18.97,20.00
abelesp17,1348,10.42,13.64,7.46,0.00
dox4money,1347,16.22,19.05,18.18,20.00
AlekseySHero,1346,21.74,29.41,13.51,0.00
Smallvile423,1346,10.71,9.09,11.11,50.00
LRZ_016,1346,15.79,16.00,9.23,20.00
LosJ&B,1344,13.04,12.50,10.53,71.43
Pegalll,1339,14.58,23.08,10.61,33.33
RICARDINH087,1339,11.90,15.38,8.33,66.67
OhhPaPai,1337,20.00,21.05,14.04,83.33
Digo089,1336,7.41,6.90,6.02,25.00
baranguney,1336,20.00,24.00,15.00,0.00
WjMartins,1336,4.35,4.55,7.46,66.67
LucasBilau,1334,8.06,13.04,7.23,60.00
Maria dwizh,1334,2.78,0.00,5.36,66.67
KingBustYou,1332,18.60,20.00,17.24,
Langarinhow,1331,15.38,20.00,11.11,71.43
azevedo45,1330,20.97,23.08,15.38,62.50
leotoledo96,1330,16.33,14.81,13.64,40.00
Catharino171,1328,5.00,10.00,7.41,0.00
Psyclows,1325,19.15,20.00,16.18,75.00
Legijon,1323,5.56,0.00,3.70,50.00
Igoreshque,1323,22.73,26.67,13.16,0.00
Olaf343,1321,8.00,8.33,4.65,16.67
EmptyHouse82,1321,27.91,25.00,20.31,0.00
kevenppn,1321,4.44,4.17,6.15,14.29
BeatleEd_3,1319,15.79,27.78,12.07,50.00
pedrotrico,1319,6.67,9.09,6.85,33.33
BOLIS_CTBA,1318,15.69,19.35,10.84,50.00
Paulohpmoraes,1317,17.50,25.00,13.79,60.00
araikvip,1317,16.22,20.83,15.15,33.33
Thugbds7,1316,7.32,13.04,8.93,70.00
marolo0410,1316,3.23,5.88,4.44,71.43
pokio1984,1315,5.41,5.88,5.00,37.50
VdZzZ,1313,17.02,36.36,13.43,40.00
MARCELOWO,1313,9.80,12.50,9.41,0.00
fred_vasco,1312,16.00,15.79,15.79,75.00
dupinn,1311,15.22,17.14,11.29,33.33
wes345,1307,13.16,12.50,11.32,66.67
nanasmakeup,1306,21.21,26.32,18.60,57.14
cristiane666,1306,20.37,32.35,13.25,41.67
ennyy01,1305,7.41,15.79,7.14,0.00
Dr_Drey15,1304,10.26,7.41,7.81,0.00
matteushz,1303,6.38,5.26,4.69,60.00
AAKillercallAA,1302,20.00,21.74,13.11,33.33
rafa_udi543,1301,17.07,25.00,14.29,
Christ1508,1301,3.03,4.55,3.64,100.00
IamGrand18,1300,10.81,10.53,11.11,25.00
neafana,1299,6.98,0.00,4.92,100.00
Iron Air,1299,9.09,22.22,5.00,0.00
leozinhobre,1298,9.09,12.00,5.48,40.00
Vkusnyaw,1298,13.16,16.67,14.89,0.00
deltronxx,1297,10.53,7.14,7.02,100.00
falou333,1297,15.63,35.71,15.25,50.00
antoha1586,1296,4.65,5.26,7.27,0.00
Swarley3000,1296,5.88,9.09,7.27,66.67
Zordsz,1295,12.50,20.00,8.64,28.57
jap4kk,1293,10.00,15.38,7.58,50.00
Mordsx2,1293,14.00,16.67,14.29,50.00
kostanellys,1291,13.73,20.00,14.93,66.67
PokerDave476,1290,9.76,4.17,8.93,0.00
Niko Vpl,1289,20.00,28.57,13.16,100.00
PedLim,1289,8.82,9.09,7.02,33.33
belosi,1288,5.41,9.52,4.35,55.56
unrealxx,1288,5.00,7.69,5.80,0.00
rickdellas,1286,12.20,19.05,11.29,42.86
Kito98XT,1286,11.11,14.81,7.00,41.67
felipepe17,1285,7.50,5.88,8.20,50.00
gantver,1285,15.38,20.00,10.81,
willie brook,1284,2.04,0.00,2.82,0.00
rssollero,1283,26.47,26.67,19.23,20.00
1D00M,1283,20.00,8.33,15.71,50.00
t0M_J0biM,1280,15.63,18.75,13.95,33.33
AArKKas13,1279,4.55,8.33,4.88,28.57
Alyssonspfc,1279,8.89,7.41,8.62,100.00
tuliodutra96,1277,13.04,14.29,11.86,40.00
Erfunden13,1275,18.42,28.57,11.48,33.33
gorgia61,1275,26.09,40.00,21.43,0.00
eron profi,1275,8.82,13.33,8.51,71.43
Metchicano,1274,14.58,17.86,10.14,40.00
denilsonmtb,1273,23.53,31.82,17.72,0.00
marcelomvf,1272,12.50,13.64,7.94,25.00
Brauliocsp,1271,21.95,33.33,16.42,100.00
d.paul141,1269,13.33,20.00,12.68,25.00
VingadoresX,1268,22.45,24.00,16.46,14.29
dandyflu,1267,0.00,0.00,6.25,100.00
gjwanke,1267,17.78,30.00,16.13,0.00
Laxeen1,1267,14.81,21.05,9.88,33.33
Hell Black,1266,11.11,12.50,10.00,60.00
peitharxia,1261,5.26,0.00,2.63,33.33
R4F3R4,1260,14.00,16.67,10.61,30.00
dmgs81,1259,8.57,5.26,7.14,0.00
NNiubility,1258,0.00,0.00,3.23,100.00
fifo_sm,1258,6.12,10.00,5.33,20.00
marllonpinto,1258,13.89,13.64,14.29,37.50
Lucky_Reka,1255,6.82,4.17,6.25,66.67
boy_amador,1254,3.64,4.00,3.61,50.00
Romazio,1254,16.67,18.52,10.53,50.00
AGV AA90,1253,15.91,21.74,11.11,0.00
GeoGonzalo26,1252,11.11,12.12,9.09,50.00
SCCPdk,1250,7.32,7.69,4.48,0.00
GUNDIAS,1250,11.29,14.29,10.23,62.50
zheka656,1250,0.00,0.00,0.00,100.00
Bigfatfat95,1250,16.22,19.23,9.23,66.67
samirua,1249,7.32,21.43,5.08,71.43
tchozen666,1249,19.05,16.67,13.51,10.00
GaooRS,1248,24.39,21.05,24.53,33.33
EFHenn,1247,25.00,23.81,21.82,25.00
rodrigoruas,1247,14.29,21.43,11.63,50.00
MOY_STYLE,1247,12.20,9.52,8.33,44.44
diogomilgrau,1247,10.53,14.29,8.33,40.00
Because FKU,1245,11.76,15.00,12.50,66.67
FelipeCSilva,1242,7.69,5.88,12.07,20.00
brunofaes405,1242,10.64,16.13,10.00,42.86
Built-byTilt,1241,10.64,21.05,11.86,
Scrwooj,1239,12.90,15.00,10.42,0.00
CyPokerAA,1237,4.00,0.00,2.86,33.33
ForzaMila355,1235,14.29,15.00,11.54,0.00
Ricardo Fogo,1235,12.12,17.39,12.77,37.50
Alysson-SC35,1233,11.76,10.00,8.57,66.67
Nagel16,1231,8.33,11.76,5.26,66.67
XIIISMOG,1229,18.75,25.00,13.21,60.00
Yanzinho89,1229,19.23,19.35,15.49,20.00
Pliinio,1228,15.79,31.25,11.86,0.00
Chippzin,1228,13.64,7.69,8.11,40.00
raph1910,1227,14.63,24.00,14.04,33.33
liitinho1990,1225,14.29,20.00,14.75,42.86
BatCave404,1225,16.67,14.81,12.99,25.00
Shunzao,1224,16.13,10.53,11.36,20.00
mariusghet12,1223,11.76,6.67,11.11,100.00
faza29,1223,15.56,28.00,11.67,100.00
vseea,1221,16.22,20.00,17.19,0.00
fabydj76,1220,6.67,0.00,4.26,66.67
Xumbin Jr,1220,9.09,11.11,6.25,33.33
adeboll,1220,9.09,7.69,7.55,44.44
Mr.Ðiego,1218,12.90,13.64,12.82,50.00
Kashchei19,1218,0.00,0.00,2.27,50.00
VITALYA$333,1217,15.63,15.79,11.67,0.00
HospiciO24,1217,13.95,11.54,11.94,50.00
kijardi,1216,3.33,6.67,4.17,0.00
Finetto,1214,13.16,10.00,11.11,33.33
Fandor4ik,1214,6.67,10.00,8.70,0.00
VRJocker,1213,8.82,16.67,7.69,100.00
TCARDOSO10,1212,19.23,13.33,14.63,66.67
ALPpoker007,1212,6.90,11.76,4.65,50.00
Konduktööri,1211,2.22,0.00,1.56,50.00
Machidon7,1210,9.68,10.00,8.89,0.00
tjjuninho,1209,3.45,5.00,4.35,0.00
dinos622,1207,10.00,12.50,8.77,40.00
Guzyaka,1205,12.20,13.64,8.62,100.00
1XtraVert,1205,3.45,5.88,6.00,50.00
Saitek00,1205,21.43,22.73,13.64,33.33
PerriOsama,1205,20.00,21.05,16.07,40.00
XHorizon101X,1205,26.32,31.82,25.93,50.00
RedIceRap,1204,12.12,16.67,11.11,
Rusakovich.R,1203,11.11,20.00,11.11,100.00
anderson2699,1202,35.71,29.41,25.58,25.00
jonny-fes,1202,29.17,35.00,21.05,75.00
GlênioCoelho,1202,8.82,10.53,5.77,37.50
IsPady,1202,11.76,20.00,8.00,33.33
tiago1987111,1201,0.00,0.00,0.00,100.00
NotHereFish,1201,12.50,16.67,11.54,50.00
jokkers_br,1200,13.33,6.67,13.51,100.00
qUzUp,1198,13.33,25.00,8.00,0.00
forcingaction,1198,9.09,11.11,6.12,100.00
30516632,1197,6.45,7.14,5.26,33.33
AAndrewsKK,1197,4.76,0.00,2.63,0.00
Thiagosgc,1196,12.20,19.23,10.77,50.00
susipl,1196,11.63,14.81,8.96,50.00
Escapemissio,1195,16.67,8.70,13.21,33.33
MOLLOT,1193,5.00,4.00,5.00,100.00
IronHeal,1191,8.11,12.50,5.88,0.00
m@L_AAmen,1191,9.68,8.33,9.09,20.00
moozeev,1191,0.00,0.00,0.00,0.00
Legioner27,1191,24.14,33.33,19.51,0.00
jessecesar,1191,6.06,4.76,4.17,50.00
pedropkr100,1191,13.79,12.50,15.00,60.00
Mr.H.E.Krabs,1190,13.16,9.52,11.11,50.00
Tigrjonok93,1190,9.43,3.70,6.25,33.33
blostaco,1189,5.13,13.33,5.36,20.00
bruno498,1189,10.81,12.00,7.55,25.00
baadinha,1189,10.42,13.64,10.29,66.67
berimberim,1189,6.45,5.00,5.00,66.67
mishulanul7,1189,10.34,11.11,8.16,33.33
JUSTlNO,1186,6.67,0.00,6.98,0.00
Cabeca Rush,1185,17.07,16.67,13.73,25.00
lucasLIVEEEE,1183,16.00,15.38,11.11,33.33
llsawell,1182,4.00,0.00,2.50,100.00
gustavo0412,1182,19.57,34.78,16.00,33.33
fill_zed,1182,13.64,17.39,10.14,33.33
"2,05meter",1182,4.65,11.76,5.26,25.00
carlosscaff,1180,7.14,6.67,4.55,50.00
8888fart8888,1178,26.09,42.86,25.00,0.00
Here Im Papa,1177,9.09,17.65,8.70,40.00
JimmyTheHamm,1176,0.00,0.00,1.67,0.00
Avrora-sp,1176,12.90,19.05,11.11,55.56
Cstl01,1176,7.50,12.50,10.00,50.00
heitorqueiro,1175,20.00,23.08,14.49,28.57
FonBB,1175,12.20,25.00,13.46,42.86
VHCA,1174,18.18,23.53,15.79,100.00
Andrewgaviao,1173,19.23,22.22,17.02,40.00
jaaum00,1172,11.76,20.00,7.84,100.00
wraJke,1172,9.38,14.29,6.52,50.00
MP AKQ,1171,18.42,23.08,16.39,100.00
Júh x),1171,10.00,11.54,7.58,0.00
Karolijanas,1170,7.89,14.29,6.35,0.00
laktin94,1170,11.54,14.29,8.11,0.00
LRigos94,1169,1.69,0.00,3.33,57.14
daltonhb,1168,9.52,19.05,6.56,
Vredaren,1168,16.67,11.11,10.53,33.33
gabriel3110,1168,17.86,18.42,14.63,0.00
inter pato72,1167,7.41,5.56,5.41,33.33
lumpiiiii,1166,7.69,6.25,10.00,33.33
Marcel0Jr,1165,11.90,20.00,11.86,20.00
LoganFreeman,1165,13.51,22.73,11.76,33.33
MathewsFranc,1163,20.59,33.33,17.02,50.00
DionataPZZ,1163,16.22,11.76,12.28,50.00
Borgesxx,1161,6.98,8.00,6.78,0.00
OMGItsaShark,1160,0.00,0.00,2.38,50.00
-Open$hove-,1159,11.76,14.29,8.00,40.00
mihail370,1159,17.78,15.63,11.27,50.00
djfimas,1158,13.51,19.05,9.80,66.67
Jessigfilho,1158,9.30,10.53,8.06,0.00
ljma12,1158,11.90,20.00,9.38,75.00
AxelwOw~,1158,27.78,18.18,13.16,25.00
hyger119,1157,2.38,3.33,3.13,16.67
writeUrstory,1156,11.90,12.50,14.29,28.57
augustokm10,1156,12.50,30.77,8.70,100.00
Sr. Huana,1156,18.42,22.73,10.77,40.00
meexmariano,1155,17.39,23.08,15.15,66.67
Priiiihl,1154,12.24,19.23,10.61,0.00
krita2222,1153,0.00,0.00,0.00,
Morrowind943,1152,14.29,21.43,10.00,33.33
matasb24,1152,10.00,15.38,6.06,85.71
Pavel_Frants,1152,10.00,8.33,5.88,80.00
Leo Franco97,1151,10.00,16.67,7.89,50.00
Sasha_Kr87,1151,18.92,17.39,13.56,20.00
Wgakiters,1150,14.89,21.21,12.50,50.00
88pro88,1150,2.86,3.70,4.84,57.14
Alexdspoker,1150,9.09,14.29,5.56,0.00
primkiller,1149,0.00,0.00,10.00,
Maxim4X4,1148,10.00,10.00,8.00,50.00
rafayamaki,1148,11.11,15.15,8.57,75.00
QueirozPedro,1147,21.74,14.29,13.16,16.67
EB1908,1146,14.63,18.52,10.61,0.00
jorginho0111,1146,14.29,16.67,12.90,75.00
DavidSutiL,1145,3.70,6.25,4.88,33.33
ZhenkaK,1145,10.53,16.67,8.20,28.57
brunospark,1144,11.76,25.00,5.41,100.00
BundesEvgeny,1144,21.21,30.00,15.91,80.00
oilucas2007,1143,5.41,8.33,3.85,25.00
guilhermelc,1143,10.20,21.05,7.69,33.33
petermtv,1143,15.00,20.00,10.34,50.00
Yusukeju,1141,4.35,6.25,4.55,100.00
diplomatao,1141,17.65,21.88,13.16,50.00
edushadow,1141,0.00,0.00,1.47,50.00
fedemano25,1141,6.00,0.00,7.06,50.00
askamafala,1141,10.53,13.04,8.00,75.00
BedMex,1140,11.11,25.00,7.32,50.00
Fernand Rypl,1138,17.50,23.81,14.52,33.33
michelgf85,1138,5.77,0.00,6.25,0.00
kntmyth,1138,16.22,26.32,12.28,16.67
henrique52,1137,15.38,7.14,10.61,50.00
cearapoker26,1137,21.21,26.32,15.22,66.67
DyX21,1136,0.00,0.00,2.38,100.00
LAGANI NIZ,1136,7.69,5.26,11.63,0.00
pavlelelep,1135,8.51,4.35,8.06,0.00
Richard_KONO,1134,22.22,33.33,18.18,100.00
_gabrieewlb,1134,13.79,22.22,10.26,100.00
mos77reg,1134,19.61,32.14,15.94,42.86
adricarlan,1134,10.00,12.50,8.51,33.33
mosjatitpula,1133,11.11,11.76,11.43,50.00
xItsNeverEasyx,1133,22.86,21.74,19.57,57.14
cllaytoon,1133,10.53,12.50,7.55,50.00
spoks 3d,1132,9.38,11.76,6.52,0.00
Valduk f,1132,10.00,17.65,6.25,100.00
cofeJoe,1132,19.51,16.00,12.50,50.00
dow_jones4,1130,16.67,21.05,14.29,60.00
Honey Dick,1129,10.71,13.16,7.41,66.67
Mathaus 500,1129,22.58,11.76,15.56,50.00
shevadio,1128,14.29,19.23,7.81,60.00
recochi,1128,10.20,13.16,9.09,42.86
MuuuriiiLo,1127,28.21,29.41,18.97,0.00
axi05,1126,23.81,18.75,20.00,50.00
zugmoraes,1126,12.12,20.00,9.62,66.67
VicFiorese,1126,12.00,11.76,8.24,40.00
kartrid,1126,26.67,44.44,16.67,
controldesk,1125,9.52,13.64,10.71,66.67
Vitaly Khd,1125,12.50,0.00,8.70,100.00
zep0rn,1124,16.28,15.38,13.33,33.33
TchieLo,1124,5.13,4.35,5.66,0.00
xequelzf,1124,15.56,15.79,15.09,33.33
jagger97,1123,8.51,8.33,5.56,33.33
wvoron81,1121,10.00,13.33,9.76,100.00
Carmanhani,1121,14.81,21.43,11.43,0.00
viandot,1120,23.08,34.62,20.41,33.33
Léo82,1120,8.57,9.52,7.55,66.67
vassili_10,1119,13.16,17.86,11.76,66.67
StudManH,1119,14.29,5.56,10.64,57.14
toba joga,1118,7.69,8.33,8.11,60.00
kexitt10,1118,8.33,11.11,7.69,33.33
dimae893ek,1118,0.00,0.00,0.00,66.67
DRoLiLLo,1118,10.26,17.39,11.76,100.00
Ildar Russia,1117,12.12,14.29,10.42,66.67
gustavo x77,1117,11.11,15.00,7.84,20.00
Kpaxa6op2,1117,13.33,0.00,12.77,100.00
uCANTreadTHIS,1115,24.00,27.27,20.00,0.00
eddys3,1115,8.00,14.29,7.89,50.00
SUI_MISHA,1115,13.89,4.35,13.56,20.00
igorcn,1115,13.16,18.52,10.34,60.00
vulcaum,1113,19.15,26.92,14.29,28.57
vinicius0812,1112,17.78,19.23,14.49,60.00
theviana,1112,3.13,0.00,1.92,0.00
RichOne666,1111,9.09,12.00,9.52,50.00
IvIaJlblw,1110,24.00,21.43,20.83,25.00
AandySilvaa,1110,14.29,17.95,9.64,66.67
SOUFODAMS,1110,9.68,9.09,11.11,66.67
viihsantoos,1110,20.45,23.08,15.38,0.00
ricsaMG,1110,6.06,9.52,6.12,100.00
Lepolegato,1110,5.71,0.00,5.17,100.00
D.Rossetti,1109,14.04,14.63,10.53,0.00
Joseefh,1109,7.41,11.11,4.55,71.43
zlo3333,1108,8.33,14.29,10.53,33.33
manu777512,1108,15.00,22.22,19.35,50.00
affRonnie,1108,26.83,27.27,22.03,33.33
sx84,1108,15.63,15.00,12.77,0.00
RafaelFagund,1107,2.56,4.35,5.17,50.00
MATT HOLVIK,1107,20.00,30.43,14.55,40.00
Toinrox,1107,3.33,0.00,2.17,0.00
Kidfp,1106,11.76,16.67,9.84,33.33
AAceLion,1106,26.47,36.84,20.00,33.33
Felipe_mla$,1106,2.38,3.70,3.08,0.00
mau_cabral24,1105,17.50,22.22,13.33,0.00
mateuschwarz,1105,16.98,20.59,12.82,57.14
GZingano,1105,10.26,13.64,9.43,0.00
hed777,1104,23.68,35.00,18.52,25.00
tcproject,1104,11.76,14.29,7.84,0.00
APL 03,1103,0.00,0.00,0.00,0.00
adisico,1102,6.90,7.69,4.55,0.00
igor.reisps,1102,5.26,10.53,3.57,60.00
Popii87,1101,2.63,0.00,1.52,33.33
tulioguerra,1101,26.92,41.18,21.95,60.00
TapaHTuHbI4,1101,5.88,18.18,6.25,100.00
Guthierre539,1101,9.52,20.00,5.88,85.71
ilnaz77,1099,27.27,30.77,20.59,0.00
Maverik_As7,1098,25.00,50.00,13.64,
bal-bruno,1097,19.51,20.00,21.31,0.00
nillolok,1096,12.12,8.33,12.50,50.00
Eibsee08,1096,2.63,0.00,1.89,40.00
efkinis24,1096,13.79,0.00,9.30,0.00
Gambit_aax,1095,0.00,0.00,1.96,
Jack-Label19,1095,3.13,5.00,9.09,25.00
Criss1301,1095,6.25,14.29,5.08,33.33
JUCA_PIRAMA1,1095,16.67,12.50,16.42,100.00
Valcoké,1094,13.16,9.52,9.38,66.67
Roman4150,1094,12.50,14.29,7.27,20.00
Leo Borgheti,1092,7.89,9.52,7.02,33.33
kaziiiii,1092,13.64,0.00,10.26,25.00
J.Colem,1092,21.28,17.39,16.67,33.33
lio dantas,1092,16.00,13.33,15.56,75.00
zoologikos,1090,0.00,0.00,2.94,33.33
Lecram006,1090,5.00,8.33,18.75,33.33
espi5169,1089,2.56,5.00,4.35,57.14
DJORFF,1089,16.67,15.00,9.68,0.00
MatheusST96,1089,13.64,25.00,11.48,0.00
cabbalistic7,1088,7.14,0.00,9.52,50.00
leepidoo,1088,11.76,0.00,12.24,0.00
patonick,1088,11.63,16.67,11.59,50.00
gbsloco,1088,8.33,9.09,8.33,100.00
deadpit77,1088,23.08,30.00,15.00,50.00
vikvinvik,1088,6.90,6.67,10.87,50.00
DOUG782,1088,8.70,11.76,8.11,33.33
viniMIT0,1087,21.05,35.29,17.24,60.00
kikesilvero,1087,21.43,35.29,19.05,40.00
SuassunaMc,1087,14.29,20.00,8.57,57.14
Pigaoo,1086,12.50,18.18,9.86,0.00
xorepa,1086,14.29,22.22,20.00,16.67
F. Kadilac,1086,14.29,13.04,11.29,100.00
lipãofera,1086,10.81,16.67,6.90,0.00
newerkla,1085,40.00,45.83,33.33,33.33
ttizovaca,1085,6.06,0.00,7.27,33.33
matheusttcm,1084,14.63,13.64,11.11,58.33
B0stonn,1083,10.00,6.67,7.14,
drunken.sp,1083,23.53,27.78,16.33,75.00
carlaocosta,1083,4.00,0.00,2.78,
Kovchyk_V,1082,3.57,8.33,4.26,100.00
senia138,1082,5.26,7.14,8.82,100.00
Macarati,1082,6.25,9.09,6.67,20.00
LeFisho,1081,3.45,5.26,4.35,50.00
CroupierSSA,1080,10.64,19.23,13.85,0.00
HoffmanGC,1080,5.41,10.53,7.69,50.00
Fred10rabelo,1079,6.52,4.55,4.35,66.67
arthurjdm,1079,12.90,7.14,7.41,50.00
doughbrum,1079,4.76,4.76,6.15,0.00
SirJGarcia,1078,15.38,36.36,10.53,33.33
LilChopp13,1078,12.50,5.00,9.62,50.00
Oxfart,1075,11.11,16.00,12.28,25.00
Pan Zaraza,1075,10.71,12.50,8.11,25.00
kbongrj,1075,10.71,7.69,14.63,0.00
chips1234,1075,19.51,20.69,13.85,40.00
AntagSS,1072,11.43,9.09,8.93,50.00
Per.V7,1072,43.24,51.85,33.93,33.33
claudinei25,1072,27.91,36.84,25.76,50.00
Paiukiller,1072,11.43,10.53,8.16,0.00
Jamaal2977,1072,15.38,22.22,16.22,25.00
doubleace90,1072,12.90,20.00,12.77,50.00
Suferring102,1072,6.25,11.76,8.51,40.00
ATB2U,1069,5.26,14.29,3.70,0.00
MorderKai,1069,4.76,9.09,2.78,50.00
juanbonber,1068,10.42,9.09,7.25,40.00
m4gicmuv,1068,11.11,15.79,10.53,25.00
allindonkses,1067,28.57,36.84,27.27,0.00
mrbroox xD,1066,10.26,5.56,8.62,33.33
rHnN1,1066,9.38,16.67,6.67,42.86
JucaItajai,1066,8.33,9.09,7.55,20.00
lea0429,1066,8.33,20.00,9.52,50.00
Tripaozao,1066,14.29,18.75,9.26,0.00
RFirmino96,1066,21.88,31.25,19.57,71.43
xodera,1065,15.00,9.09,8.82,0.00
tnapao49,1065,2.38,3.70,6.35,33.33
Dude2392,1063,14.81,22.22,9.76,75.00
TiozinZe,1063,21.95,26.92,15.38,50.00
Balakivoaa,1063,6.25,5.26,10.42,40.00
leon1909,1062,19.35,15.79,13.33,50.00
sombrero21,1062,4.00,7.14,5.71,60.00
ikiiie,1061,20.00,13.64,15.56,40.00
SSNero,1061,5.56,5.88,6.00,50.00
joaomentias,1061,16.95,21.43,15.94,28.57
sisli,1060,14.29,19.05,10.81,50.00
JonnyWalk200,1060,8.00,9.09,10.81,50.00
kinofan,1060,11.11,14.29,8.11,0.00
alencarfu.es,1059,9.76,15.00,8.20,0.00
dion996,1059,4.44,3.70,4.29,0.00
Piero Morán,1058,9.52,0.00,5.00,
DogFiSH_SP,1058,8.70,16.67,8.22,
RckNog,1058,17.86,21.74,13.16,66.67
bbru156,1058,3.70,6.25,2.63,25.00
Leandrocga,1058,6.82,15.79,9.33,
ArnonLemos,1057,5.56,5.00,5.77,33.33
AlekseyM1983,1056,0.00,0.00,0.00,
iwillkillset,1055,5.88,6.25,3.92,50.00
Mr.Quicky1,1055,2.70,5.56,1.85,66.67
MarcoMorais,1055,7.14,8.33,3.85,33.33
ZZigslick,1055,0.00,0.00,3.33,20.00
