Player;Hands;VPIP;PFR;PFR/VPIP;3Bet PF;CBet F;Flop AF;Flop AFq;Fold to F CBet;Fold to F Bet;CBet T;Turn AF;Turn AFq;Fold T Bet;River AF;River AFq;Fold R Bet;Att To Steal (LP);Fold to Steal;3Bet Steal;3Bet Steal (SB);3Bet Steal (BB);Total AF;Total AFq;WSD;WTSD %;WWSF;Call R & WSD;Bet R & WSD;BB/100;My C Won;Call PF 3Bet;Limp;3Bet F XR;3Bet R;4Bet PF;3Bet BB v SB;XR Flop;XR River;XR Turn;Limp/Raise;Raise F CBet;Raise F CBet (3B);Raise F CBet (non-3B);Raise F Float;Raise First;Raise R CBet;Raise T CBet;Stole;Bet R;Call R Bet;Call R XR;CBet R;Fold R Bet;Fold to R 2Bet;Fold to R 3Bet;Fold to R 4Bet+;Fold to R XR;Fold to R Donk;CBet R & Fold;Raise R CBet;Call R Eff;Saw River;Saw River %;WSDWRR;Bet R & WSD;CBet T & Fold;CBet T & Fold (3B);CBet T & Fold (non-3B);Fold to T CBet;Fold to T XR;Raise T CBet;WSDWRT
corke64;405;42.14;14.96;35.5;3.7;88.57;1.53;46.58;38.46;40.51;69.23;1.32;46.07;34.78;1.88;54.24;32.26;41.89;37.21;4.65;0;14.29;1.53;47.9;70.97;36.9;51.19;47.06;88.89;24.71;199.64;47.83;16.04;0;0;4.44;25;4.26;7.14;0;0;10.77;6.25;12.24;;24.5;42.86;9.52;11.43;41.27;48.39;;50;32.26;0;0;;;0;0;42.86;4.81;80;75.47;83.33;88.89;;;;23.81;0;9.52;66.67
Want 2 Dance;398;38.62;8.12;20.53;8.72;100;1.03;41.1;19.15;28.77;82.35;1.77;47.42;44.44;1.18;45.61;24.14;10.17;58.33;16.67;5.88;26.32;1.25;44;53.45;37.66;42.21;33.33;64.29;2.32;-103.67;39.39;30.05;0;0;3.7;33.33;6.98;8.33;8.7;0;10.64;22.22;7.89;;6.51;14.29;13.64;0;43.64;68.97;;50;24.14;50;;;;0;;14.29;2.34;76;66.09;100;64.29;0;;0;40.91;20;13.64;50
mapleleef123;397;38.46;26.22;68;23.44;90.28;2.88;56.32;60.53;55.56;97.5;3.09;65.38;30;4.27;67.14;43.48;32.35;50;16.67;12.5;21.43;3.18;61.21;52.63;36.08;39.87;18.18;68.97;4.47;10.57;47.73;3.56;40;40;26.32;25;2.33;0;7.14;0;10.53;11.76;9.52;;34.07;50;14.29;9.09;62.69;43.48;100;82.14;43.48;40;;;0;33.33;0;50;2.32;81;75.7;80;68.97;66.67;0;100;14.29;0;14.29;40
the-gzar;386;31.41;6.81;21.67;3.03;100;1.69;45;47.92;50;63.64;1.68;49.23;42.42;0.75;32.14;36.84;16.9;52.78;5.56;0;10;1.51;44.6;59.38;26.89;42.86;41.67;100;5.36;87.19;40.91;21.6;0;;0;0;2;0;0;0;6.25;16.67;4.76;;10;0;6.25;28.57;23.08;63.16;;20;36.84;;;;;;;0;3.97;43;62.32;;100;;;;37.5;;6.25;100
tamojunto80;378;28.11;9.49;33.65;4.94;68.42;0.56;29.67;27.91;25.93;20;0.16;11.32;18.18;0.63;28.33;31.11;20.63;49.06;7.55;3.23;13.64;0.44;24.51;52;47.62;38.1;48.15;57.14;-8.18;-123.74;43.9;13.89;0;0;5.13;14.29;12.12;0;0;0;11.63;13.33;10.71;0;14.81;9.09;0;7.69;27.27;57.78;;;31.11;100;0;;;0;;9.09;3.15;73;85.88;100;57.14;;;;12.5;;0;
Slothario;360;47.49;7.56;15.88;0.76;94.12;0.65;26.82;37.5;43.12;62.5;0.7;31.82;33.33;1.12;42.86;27.03;13.64;37.5;0;0;0;0.75;31.21;54.05;38.95;35.26;16.67;91.67;-8.39;-60.4;59.26;39.72;0;40;4.55;;0;5.56;3.45;0;4.69;7.69;3.92;;11.76;30;8;0;27.78;62.16;100;100;27.03;40;0;;0;0;0;30;1.18;93;78.15;80;91.67;0;;0;20;0;8;66.67
getthebear;356;23.14;11.75;50.62;5.04;89.47;0.94;36.25;38.24;39.02;87.5;1.17;41.18;33.33;1.5;51.72;30.77;23.29;65.96;0;0;0;1.1;40.63;54.17;30.77;39.74;30;87.5;-5.94;-84.62;43.33;3.66;33.33;50;0;0;3.57;0;0;0;8.82;7.69;9.52;0;19.3;0;0;26.09;48.28;69.23;;83.33;30.77;0;;;;;;0;1.78;34;66.67;;87.5;100;;100;15.38;50;0;100
MAIRONFO;354;33.14;26.38;79.13;21.94;91.67;1.97;61.86;9.09;14.63;85.71;2.7;56.84;41.03;2.08;60;25;47.17;51.61;32.26;30;36.36;2.2;59.69;53.49;36.44;54.24;30.77;78.95;13.54;191.73;42.31;4.24;0;0;23.08;80;23.81;0;16.67;0;27.27;33.33;20;50;32.59;0;27.27;24.14;63.41;68.75;100;87.5;25;33.33;;;0;;100;0;2.79;54;55.67;100;78.95;100;100;;45.45;0;27.27;42.86
AAinthehole;340;37.8;23.28;61.42;6.9;82.61;1.59;51.67;20;22.22;69.57;1.73;48.91;30.43;1.17;43.75;32.35;39.29;33.33;7.41;15.38;0;1.52;48.91;56.86;41.46;39.84;29.17;80.95;-5.39;-59.26;36.73;4.76;0;0;27.08;0;27.78;12.5;18.52;0;28.57;42.86;19.05;0;34.59;25;25;11.11;52.08;58.82;;42.86;32.35;25;0;;;0;;25;3.62;67;72.04;50;80.95;66.67;100;50;18.75;66.67;25;60
IntoTheBrain;337;43.92;29.34;66.22;20.15;96.67;2.79;65.43;35.48;31.82;62.86;1.97;57.84;24.39;1.9;54.79;32.35;51.72;25.81;29.03;26.67;31.25;2.3;60.83;52.94;48.23;46.81;33.33;64;3.58;24.16;44.44;3.11;22.22;50;14.81;16.67;26.09;6.25;4.55;;25.81;20;31.25;;42.21;33.33;0;18.18;46.97;50;;66.67;32.35;16.67;0;0;;0;0;33.33;3.13;87;80.56;62.5;64;0;0;0;33.33;0;0;50
DirtyDouble2;326;41.69;28.84;69.17;16.67;97.92;2.2;61.11;26.09;23.64;86.96;2.04;61.11;17.95;1.86;58.21;23.33;39.71;56.86;13.73;12;15.38;2.07;60.47;56.72;54.92;50.82;23.81;89.29;18.88;268.33;63.64;3.53;40;100;6.45;33.33;29.63;0;11.11;0;34.78;32;38.1;;41.83;12.5;17.65;22.22;58.33;70;;64.71;23.33;0;;;;0;;12.5;2.07;81;85.26;66.67;89.29;33.33;50;0;23.53;33.33;17.65;77.78
JumpSeat123;324;22.43;18.13;80.56;5.65;66.67;1.35;51.92;20;22.73;83.33;1.1;44.23;20.83;1.27;50;15.38;33.33;73.08;7.69;0;13.33;1.23;48.48;66.67;49.18;57.38;9.09;100;5;32.42;33.33;0;33.33;0;3.7;20;0;0;20;;10;18.18;0;;27.63;0;8.33;33.33;43.75;84.62;;66.67;15.38;100;;;;;;0;0.83;37;74;;100;33.33;;33.33;16.67;100;8.33;100
Brama Br;324;71.02;46.5;65.47;22.69;79.07;1.84;60.77;11.54;12.82;73.81;1.6;55.36;22.06;2.05;56.34;32.79;59.7;28.89;8.89;8.33;9.52;1.81;57.8;50;57.55;46.23;34.21;59.26;-19.04;-220.29;34.55;5.88;33.33;11.11;58.18;33.33;22.86;0;16;33.33;30.77;50;18.75;;63.52;14.29;17.65;22;61.61;50.82;33.33;78.26;32.79;33.33;0;;66.67;25;0;14.29;3.03;158;87.78;30;59.26;0;0;0;17.65;0;17.65;11.11
jadajadamasa;323;36.36;27.76;75.86;14.41;84.75;1.63;51.54;35.29;33.33;71.43;1.38;48.19;28.57;1.47;50.91;22.22;42.59;40.91;22.73;33.33;10;1.52;50.37;71.15;43.33;50.83;57.89;82.35;29.09;196.86;37.5;3.95;0;0;3.13;50;17.5;6.67;11.11;0;17.65;33.33;5.26;0;38.46;20;41.67;10;42.31;55.56;;70;22.22;50;25;;;0;;20;4.35;65;76.47;100;82.35;33.33;0;50;0;25;41.67;62.5
k1rp4v3nsk3;313;39.81;13.92;34.96;6.99;70;0.54;31.78;15.38;12.9;100;0.5;29.55;14.75;0.6;26.47;34;22.45;37.14;8.57;11.11;5.88;0.54;29.66;38.6;49.14;35.34;17.24;66.67;-29.56;-438.12;51.43;16.88;0;0;6.25;0;10;14.29;4.76;0;11.54;14.29;10.53;;20.59;21.43;20;16.67;31.71;56;100;50;34;66.67;50;;0;0;0;21.43;1.74;82;82;75;66.67;0;0;0;4;0;20;100
"""Pow3rP0k3r""";311;65.9;31.8;48.26;11.54;75.44;1;45.08;17.65;16.04;69.23;1.55;48.57;29.73;1.62;44.76;48.15;54.05;12.5;10;19.05;0;1.26;46.12;48.42;48.22;36.55;24.14;61.11;-20.5;-270.73;69.39;13.29;28.57;0;8.51;0;18.46;0;20;0;27.06;20;30.91;33.33;52.35;11.11;36.67;8.89;46.32;48.15;100;46.15;48.15;50;0;;0;0;;11.11;1.7;130;76.47;100;61.11;50;;50;30;0;36.67;66.67
ChinaBoy420;308;39.14;28.29;72.27;16.26;82.5;0.95;39.58;29.79;28.57;72.73;1.16;46.03;23.53;1.33;48.98;25.93;44.44;53.49;20.93;26.32;16.67;1.1;43.75;65.12;42.57;51.49;33.33;94.12;11.9;73.32;58.62;0.6;0;100;6.9;23.08;8.33;7.14;18.75;0;8.51;4.35;12.5;0;41.67;28.57;21.05;41.18;50;66.67;;66.67;25.93;0;;;;0;;28.57;2.04;55;74.32;100;94.12;0;;0;26.32;0;21.05;60
Blackadder77;301;30.85;21.77;70.33;13.71;83.78;1.34;51.19;20;18.92;72.22;1.22;43.08;42.31;1.12;45.24;22.22;48;70.83;16.67;25;8.33;1.25;47.12;47.37;45.78;40.96;31.25;66.67;-3.4;-61.37;40.82;2.13;0;0;8.33;20;24;0;7.14;0;23.33;21.05;27.27;;34.35;0;12.5;16;46.34;77.78;100;83.33;22.22;40;;;0;0;;0;3.5;51;73.91;;66.67;0;;0;25;0;12.5;33.33
gordss;300;23.73;16.04;67.14;10.24;93.1;1.25;48.61;20.83;25;94.12;1.74;54.1;30.77;1.27;48.72;23.81;28.26;71.79;10.26;0;19.05;1.4;50.58;51.85;40.91;45.45;20;90;9.68;121.56;37.5;0;33.33;100;9.38;20;14.29;0;10;;16.67;18.18;15.38;0;22.14;0;25;28.57;66.67;66.67;;83.33;23.81;0;0;;;0;0;0;2.25;38;70.37;66.67;90;14.29;20;0;25;25;25;83.33
Fabulous108;294;42.12;23.79;56.1;15;76.47;1.15;44.54;22.92;20.97;73.33;1.05;46.59;16.28;1.05;36.07;42.11;42.86;31.82;18.18;25;12.5;1.09;43.28;46;42.74;37.61;28.57;75;-2.45;-28.86;54.76;2.86;25;0;10.53;10;18.42;0;12.5;0;27.08;30;25;0;33.33;8.33;10;14.29;36.73;47.37;0;66.67;42.11;50;0;;100;;0;8.33;1.82;73;80.22;100;75;0;0;0;10;0;10;40
benyeiantal;290;34.83;23.18;66.34;17.99;95.12;1.56;56.99;9.68;12.82;90.32;1.65;57.95;18.18;1.93;50;46.43;41.67;50;6.67;7.69;5.88;1.66;55.65;48.94;50;46.81;20;72.22;-1.67;-9.68;29.73;0;0;25;13.51;20;30.43;0;7.69;;19.35;15.38;22.22;;29.09;0;23.53;22.22;53.06;46.43;;55;46.43;25;;;;50;0;0;1.5;70;86.42;100;72.22;0;0;0;11.76;0;23.53;66.67
meris;284;41.94;11.51;27.35;5.66;57.14;0.47;23.23;33.33;35.14;57.14;0.84;37.5;27.08;1.47;48.28;29.41;30.61;57.89;10.53;0;25;0.78;34.06;46.15;42.28;35.77;21.05;57.14;-6.05;-34.39;55.56;24.53;0;0;11.11;40;2.56;0;23.53;0;2.38;0;3.13;0;17.83;30;10.53;41.18;46.67;52.94;;100;29.41;50;0;;;;;30;1.69;71;76.34;100;57.14;0;;0;21.05;0;10.53;40
nikosha8;283;39.64;19.71;49.55;9.68;88;0.91;37.04;23.53;33.33;50;0.92;35.82;34.04;1;35.42;38.24;34.55;52.63;15.79;10;22.22;0.93;36.32;55.77;44.44;33.33;23.53;100;-6.08;-34.42;58.82;15;40;0;5.88;50;11.36;0;19.35;0;8.82;5.88;11.76;;30.53;0;29.41;9.52;26.09;50;;25;38.24;100;0;;;0;;0;1.12;69;77.53;100;100;0;0;;23.53;;29.41;62.5
Parfenn;282;28.93;22.5;77.78;18.42;95;2.58;59.76;33.33;38.71;83.33;2.19;59.32;28.57;2.78;58.14;50;37.14;46.15;30.77;43.75;10;2.48;59.24;61.29;36.47;49.41;33.33;76.92;10.84;137.32;52;0.67;0;25;4;33.33;14.29;20;21.43;;19.05;18.18;20;;27.27;0;40;6.67;51.28;27.78;;60;50;0;0;;;0;;0;2.83;47;74.6;80;76.92;20;0;25;0;50;40;75
DeanK2005;282;38.79;5.02;12.84;1.53;90;0.54;25.24;28;32.39;33.33;0.73;29.69;42.22;1.62;40.63;52.38;7.94;55.56;0;0;0;0.71;29.15;53.66;36.61;30.36;25;100;-13.21;-74.49;52.38;29.41;;;0;0;2.04;12.5;8.33;0;4;10;2.5;;8.45;20;4.76;12.5;23.91;38.1;;100;52.38;;;;;;;20;2.56;55;69.62;0;100;;;;38.1;;4.76;75
ruffhouse53;270;33.21;15.85;47.73;8.93;68.18;0.91;34.52;33.33;38.89;66.67;1.16;43.14;32.14;0.79;40.54;15;36;55.56;11.11;10;12.5;0.94;38.37;35.29;38.2;34.83;26.32;62.5;-16.11;-86.98;43.48;9.02;0;25;8.7;33.33;11.76;0;11.11;25;13.89;18.18;12;0;24.56;0;25;22.73;40.63;80;;100;15;0;;;;0;;0;2.13;43;74.14;100;62.5;0;0;;16.67;;25;25
shan393;268;34.6;23.57;68.13;10.2;97.3;2.21;58.24;22.22;37.93;68.42;2.38;56.36;40.91;1.82;52.63;35.29;43.14;70.37;7.41;0;15.38;2.17;56.52;45.16;36.9;41.67;36.36;73.33;15.02;80.52;38.89;2.07;0;0;33.33;20;14.29;0;30;;22.22;16.67;25;;32.28;0;14.29;40;57.58;58.82;100;83.33;35.29;50;;;0;0;0;0;3.31;43;71.67;;73.33;33.33;0;50;28.57;33.33;14.29;100
Guimp;263;53.64;22.01;40.71;6.78;86.96;0.64;31.34;29.58;28.41;78.57;0.89;37.65;27.27;1.57;45.83;44.44;42.31;24;4;8.33;0;0.87;36.77;37.29;44.7;25.76;19.05;50;-39.45;-207.49;76.47;13.43;100;20;9.38;0;13.79;0;0;0;9.86;4.55;12.24;0;39.84;6.25;3.7;18.75;51.67;52.78;;100;44.44;40;;;;33.33;50;6.25;2.44;80;80.81;100;50;40;50;33.33;18.52;0;3.7;33.33
simper11;263;38.7;20;51.49;10.34;96.97;0.92;40.17;30.43;27.78;82.35;0.86;42.25;15;1.37;44;34.38;26;37.93;6.9;7.14;6.67;0.97;41.6;53.66;39.81;45.63;31.25;80;3.69;95.03;60.71;3.79;25;0;7.14;0;11.11;15;11.54;0;8.7;7.14;9.38;;30.65;16.67;11.11;0;32.61;46.88;;75;34.38;50;0;;;0;;16.67;2.63;61;81.33;66.67;80;0;;0;11.11;0;11.11;100
TinaTurner72;254;35.51;24.9;70.11;20.2;100;2.04;54.84;34.48;32.43;71.43;1.68;57.14;23.81;2.1;52.5;45;46;48.28;27.59;35;11.11;1.93;55.03;44.12;41.46;39.02;30;54.55;-2.6;-10.8;45;1.52;0;0;5;;34.62;10;0;;27.59;20;31.58;;30.77;40;11.11;20;42.11;35;100;66.67;45;0;0;;0;0;0;40;2.18;49;84.48;100;54.55;0;;0;11.11;0;11.11;100
tigerca;250;32.13;18.47;57.5;5.36;89.29;2.73;55.41;57.69;54.55;86.67;2.33;51.22;53.33;3.25;59.09;62.5;30.3;59.46;5.41;6.25;4.76;2.68;54.74;57.14;29.58;39.44;50;88.89;-5.45;-27.23;33.33;3.23;0;0;5.56;16.67;14.29;0;0;0;23.08;42.86;15.79;0;32.14;;0;26.67;57.14;25;100;50;62.5;0;;;0;100;0;;4.32;30;66.67;;88.89;25;;25;100;33.33;0;
Meifod;250;24.59;20.49;83.33;11.49;100;1.95;61.67;14.29;15;84.62;2.44;55;41.18;1.89;58.62;23.08;43.14;50;25;27.27;23.53;2.05;58.91;55.56;50.94;47.17;22.22;66.67;-5.37;-26.87;30;0;0;0;6.9;37.5;20;0;0;;28.57;16.67;37.5;;31.4;;33.33;20;65.22;61.54;;87.5;23.08;0;;;;0;;;2.12;33;76.74;100;66.67;0;0;0;66.67;0;33.33;100
a.v.kopli;249;34.54;21.69;62.79;16.95;89.66;1.06;46.34;14.29;15;60;1.04;39.39;32.5;0.8;39.02;20;35.71;52;28;31.25;22.22;0.99;42.33;65.85;50.62;48.15;50;100;28.42;330.41;29.17;2.7;0;;4.35;40;27.27;0;16.67;0;25;30.77;20;;28.13;0;26.67;40;59.26;80;;83.33;20;;;;;0;;0;4.53;49;72.06;;100;100;100;;13.33;;26.67;100
angelomain;247;37.45;10.29;27.47;4.59;71.43;0.66;33.72;22.45;21.82;85.71;0.73;33.33;30.77;0.71;37.5;16.67;15.69;51.43;5.71;11.11;0;0.69;34.43;44.9;53.85;38.46;25;63.64;-11.26;-111.22;52;17.83;50;0;8.33;0;11.11;0;0;16.67;14.29;30;10.26;;15.75;0;0;15.38;31.82;79.17;100;80;16.67;0;;;0;0;;0;2.12;57;77.03;;63.64;0;;0;30.43;;0;100
rishi daddy;244;42.74;25.94;60.19;9.3;100;1.49;52.14;15.15;17.31;84.21;1.31;46.91;30.56;1.1;45.1;23.08;34;45.45;0;0;0;1.34;49;61.22;48.04;46.08;33.33;81.25;5.83;116.03;50;1.48;28.57;0;16.67;0;15.63;0;5.56;;24.24;12.5;28;;38.39;0;7.69;18.52;47.37;61.54;100;80;23.08;20;0;0;0;0;;0;2.59;58;74.36;75;81.25;0;0;0;38.46;0;7.69;66.67
charlyman666;240;37.45;16.6;44.32;6.25;79.17;1.29;46.75;14.81;29.27;75;1.62;39.39;62.86;1.27;51.35;13.33;40;45.83;12.5;9.09;15.38;1.37;45;38.71;35.63;32.18;26.67;57.14;-13.84;-104.72;57.89;14.97;0;0;0;0;28;0;6.25;0;40.74;50;35.29;0;24.78;0;0;24;58.06;80;;100;13.33;33.33;0;;;;0;0;1.8;38;56.72;0;57.14;;;;36.36;0;0;66.67
wauwe;235;55.79;12.93;23.08;8.77;95.24;2.21;52.82;43.75;45.9;84.62;1.73;54.22;36.67;1.22;47.83;26.09;20.51;20.83;20.83;27.27;15.38;1.82;52.4;53.06;37.69;43.08;16.67;84.21;-3.03;-14.26;55.26;41.96;0;33.33;15.15;0;10;8.33;0;0;25;25;25;;16.67;0;11.11;0;50;69.57;;100;26.09;0;;;;0;;0;0.65;56;66.67;100;84.21;0;;0;33.33;0;11.11;75
w88vic;230;25.99;2.2;8.47;0;100;2.06;49.25;23.53;35.29;50;1.37;39.29;42.86;1;42.11;33.33;0;72;0;0;0;1.62;45.61;66.67;31.82;43.94;62.5;85.71;-2.89;-13.28;5;29.52;;0;0;0;12.5;0;12.5;0;23.53;50;20;;3.03;;40;;44.44;66.67;;;33.33;0;;;;;;;4.04;25;69.44;;85.71;;;;20;0;40;100
Fletch221;223;43.38;3.2;7.37;0;100;0.45;21.11;34.21;38.1;100;0.93;29.17;56.25;1;46.43;12.5;5.56;25;0;0;0;0.66;27.71;58.06;30.39;38.24;53.85;66.67;1.02;4.55;33.33;40;100;;6.67;0;2.22;0;5.88;0;0;0;0;;4.85;0;6.25;0;35.71;68.75;;100;12.5;;0;;;;;0;3.41;40;61.54;66.67;66.67;0;;0;56.25;0;6.25;0
Kelly40;221;41.55;27.4;65.93;19.74;91.18;1.66;55.79;13.79;16.22;86.67;1.2;46.88;24.14;1.25;42.86;38.1;36.96;35;15;37.5;0;1.42;50.52;58.54;47.13;49.43;25;63.64;21.37;119.31;45.83;3.88;25;0;34.78;0;13.04;0;0;0;27.59;40;14.29;;31.58;0;0;20;33.33;52.38;;25;38.1;0;;;;;;0;2.06;51;75;100;63.64;0;0;0;18.18;;0;100
covfefe34;219;38.5;27.7;71.95;4;96.55;2.23;60.49;28.57;42.11;70;3.8;61.29;57.14;2.56;63.89;36.36;46.51;59.09;0;0;0;2.68;61.45;59.26;35.53;48.68;44.44;70.59;13.64;77.87;60;1.67;0;0;0;0;0;0;7.69;;7.14;12.5;0;;48.18;;50;18.75;71.88;63.64;100;85.71;36.36;0;;;0;33.33;;;2.87;37;61.67;;70.59;66.67;;66.67;25;50;50;66.67
MrRobotV.3;201;46.7;23.86;51.09;5;83.33;1.08;45.56;20;20;69.23;1.67;52.24;30.56;1.79;52.08;40.91;38.1;25;12.5;12.5;12.5;1.38;49.27;47.62;44.68;43.62;21.43;77.78;-1.22;-4.9;71.43;12.6;0;100;0;50;4;0;17.65;0;0;0;0;0;33.67;0;20;31.58;60;59.09;;100;40.91;0;;0;;66.67;;0;1.72;57;79.17;0;77.78;0;;0;20;0;20;55.56
BB_Darkness;198;70.21;55.85;79.55;42.42;80;2;59.38;23.33;21.62;60.71;0.73;37.97;16.67;1.29;44.29;33.33;65.79;11.54;61.54;62.5;61.11;1.33;49.46;54.84;48.44;49.22;45.83;85.71;28.46;105.31;62.86;1.92;0;0;25;84.62;0;5.56;4.76;;20;26.09;0;;70;0;5.56;12.24;46.77;61.11;50;72.73;33.33;60;;;50;;50;0;3.37;84;84;100;85.71;0;;0;16.67;;5.56;100
PTiger520;198;39.59;20;50;9.3;86.36;0.66;34.74;16.67;20;90;0.69;34.72;22.5;1.19;48.08;20;42.31;41.18;11.76;25;0;0.78;37.9;51.22;50.62;39.51;47.62;77.78;3.47;13.75;45.16;7.41;0;100;3.7;0;0;14.29;5.26;0;0;0;0;0;39.47;0;18.75;7.14;38.24;63.33;0;100;20;0;0;0;0;100;0;0;4.33;52;80;55.56;77.78;0;0;0;18.75;0;18.75;0
suntan49;195;51.55;30.57;59;20.25;75;1.7;50;38.71;39.58;76.47;2.06;57.81;23.08;2.38;59.62;30;42.86;47.06;11.76;9.09;16.67;1.95;54.59;65;39.6;48.51;46.15;72.22;38.56;255.25;55.17;12.15;0;28.57;24.14;0;15.63;10;23.08;0;16.13;9.09;20;0;40.23;0;40;18.75;59.52;50;50;100;30;28.57;;;0;0;50;0;3.51;55;77.46;100;72.22;;;;40;;40;80
Yuriy Ceza11;193;40.21;26.46;65.79;14.29;93.1;3;67.5;19.23;17.86;78.95;2.2;63.46;22.22;3;67.5;23.08;52.38;47.83;30.43;18.18;41.67;2.71;66.28;51.52;44.59;56.76;44.44;50;0.89;3.44;60.71;5.71;100;0;3.7;33.33;35.29;0;12.5;50;26.92;38.46;15.38;;38.14;0;18.18;10.71;66.67;69.23;;90.91;23.08;100;;;;0;100;0;3.44;46;82.14;100;50;0;0;;27.27;;18.18;33.33
boogi;190;46.52;34.41;73.56;24.19;81.48;2.05;59.21;20.83;20;62.5;1.84;53.85;45.83;1.08;41.94;33.33;48.94;36.36;36.36;55.56;23.08;1.75;54.07;45.16;42.47;41.1;25;77.78;-3.07;23.42;50;3.7;100;100;12.5;75;21.74;0;18.75;0;20.83;15.38;27.27;0;44.9;0;22.22;36;40;66.67;;50;33.33;0;;;;0;;0;3.2;40;70.18;;77.78;0;0;0;33.33;0;22.22;42.86
PokerActive;188;31.02;13.9;44.83;8.7;86.67;1.19;44.64;16.67;23.33;85.71;1.45;47.06;29.41;1.67;48.39;33.33;26.09;54.55;13.64;11.76;20;1.37;46.28;60;44.64;39.29;33.33;87.5;-5.52;-17.14;40;4.94;0;0;5;33.33;17.65;11.11;0;;37.5;33.33;40;;26.47;25;0;37.5;44.44;50;;25;33.33;100;;;;100;;25;0.88;36;81.82;100;87.5;0;0;;14.29;0;0;100
rallemann52;187;57.07;12.57;21.9;12.94;61.54;0.62;31.78;21.57;20;100;0.97;37.84;36.36;2.25;51.92;55;15.79;27.78;22.22;22.22;22.22;0.93;38.2;45.95;35.24;35.24;25;52.94;-27.32;-102.17;69.57;44.44;0;0;4.35;20;8.11;0;0;0;9.8;5.88;11.76;0;10.99;0;0;16.67;68.42;40;;100;55;33.33;;;;100;;0;1.59;57;72.15;100;52.94;0;0;0;33.33;0;0;66.67
eurooppa50;186;36.07;18.03;50;7.59;94.74;2.18;60.76;30.77;28.57;100;2.5;67.31;15.38;1.25;54.05;0;40.74;47.83;8.7;0;14.29;1.98;61.31;42.86;55.56;47.62;25;64.29;6.27;46.67;61.54;6.12;50;0;15.38;0;0;0;0;0;30.77;50;22.22;;25.58;0;0;21.43;63.33;93.75;100;83.33;0;50;;;0;0;;0;1.97;40;85.11;100;64.29;0;0;0;50;0;0;66.67
Helland;185;28.42;18.03;63.46;10.67;95;1.39;50;19.05;23.08;77.78;1;37.93;37.5;0.83;33.33;40;39.39;47.83;17.39;33.33;11.76;1.17;43.62;43.75;32.65;44.9;50;66.67;-3.54;-42.21;23.53;3.19;0;;11.76;25;27.78;0;0;;23.81;11.11;33.33;;26.74;0;0;15.79;29.41;60;;50;40;;;;;;;0;2.94;22;68.75;;66.67;0;;0;33.33;;0;
Arhiv1985;185;27.22;15.17;55.1;2.56;91.67;1.21;39.53;52.38;50;0;1.25;31.25;53.85;1;46.15;14.29;36.67;60;8;15.38;0;1.17;38.89;50;33.33;35.71;33.33;66.67;-12.76;-47.22;50;1.16;;;0;0;0;0;12.5;;0;0;0;;28.57;0;0;41.67;40;85.71;;;14.29;;;;;;;0;0.98;18;69.23;;66.67;;;;83.33;;0;
GMHawkeye;182;36.16;24.43;67.19;18.99;96.88;1.77;60.94;11.11;10.53;94.12;1.94;61.11;21.05;2;53.66;43.75;25.71;41.38;24.14;50;10.53;1.88;59.12;41.38;48.33;46.67;0;60;-2.69;-29.42;43.75;0;33.33;0;18.75;16.67;18.75;0;9.09;;16.67;28.57;9.09;;29.76;0;12.5;11.76;56.41;56.25;;100;43.75;33.33;;;;100;50;0;0;43;86;;60;0;0;0;25;;12.5;60
LosChief;180;27.27;18.18;66.67;2.7;93.75;1.23;48.48;15.38;21.43;40;0.44;20;43.75;1.4;43.75;42.86;38.78;69.23;0;0;0;1;39.13;57.14;36.84;44.74;60;75;-3.91;-39.13;33.33;1.08;0;0;8.33;0;0;0;0;;7.69;20;0;;30.34;0;20;34.78;58.33;57.14;100;;42.86;50;;;0;;;0;7.23;20;68.97;;75;;;;20;;20;100
krytalex;176;52.38;39.88;76.14;23.08;94.59;1.39;50;22.58;24.32;66.67;1.19;43.1;35.71;0.67;33.33;22.73;43.59;31.03;24.14;42.86;18.18;1.14;44.44;45.71;43.75;38.75;29.41;66.67;-19.76;-69.56;70;0.95;0;0;0;25;10.53;0;6.25;;9.68;6.67;12.5;0;50;0;14.29;18.42;41.38;77.27;100;83.33;22.73;0;100;;0;;;0;2.19;44;72.13;;66.67;16.67;;16.67;14.29;16.67;14.29;66.67
nemesis_doll;176;22.67;8.14;35.9;0;100;0.5;21.43;33.33;48.15;100;1.6;51.61;22.22;2.6;56.52;62.5;20.69;70;0;0;0;1.15;39.58;23.08;27.66;25.53;0;28.57;-21.15;-74.46;50;9.9;;0;7.14;0;0;0;33.33;0;0;0;0;;15.66;25;30;14.29;66.67;25;;100;62.5;0;0;;;;0;25;0;23;74.19;0;28.57;0;;0;10;50;30;50
rontani;174;39.66;19.08;47.83;14.81;59.09;1.11;44.12;25.93;25.71;66.67;0.95;43.48;18.52;1.36;41.67;50;20.83;22.22;27.78;10;50;1.1;43.33;46.43;40;41.43;36.36;100;-4.61;-7.44;50;8.75;0;0;9.52;66.67;15;11.11;20;0;14.81;18.18;12.5;;25.35;0;16.67;33.33;40;45;;66.67;50;0;0;;;50;;0;2.4;46;80.7;0;100;;;;16.67;;16.67;100
